Country, Survey, Type, Phase, Manual, Data, GPS, Bio, SPA
Egypt,  1992, Standard DHS, DHS-II, DHS-II, Egypt_Standard-DHS_1992.cfm, Egypt_Standard-DHS_1992.cfm, Not Collected, Not Applicable
Egypt,  1988, Standard DHS, DHS-I, DHS-I, Egypt_Standard-DHS_1988.cfm, Not Collected, Not Collected, Not Applicable
El Salvador,  1985, Standard DHS, DHS-I, DHS-I, El-Salvador_Standard-DHS_1985.cfm, Not Collected, Not Collected, Not Applicable
Equatorial Guinea,  2011, Standard DHS, DHS-VI, --, Not In Public Domain, Not In Public Domain, Not In Public Domain, Not Applicable
Eritrea,  2002, Standard DHS, DHS-IV, DHS-IV, Restricted Data, Restricted Data, Not Collected, Not Applicable
Eritrea,  1995, Standard DHS, DHS-III, DHS-III, Restricted Data, Not Collected, Not Collected, Not Applicable
Ethiopia,  2014, HIV/MCH SPA, DHS-VI, --, Not Applicable, Not In Public Domain, Not Collected, Not In Public Domain
Ethiopia,  2011, Standard DHS, DHS-VI, DHS-VI, Ethiopia_Standard-DHS_2011.cfm, Ethiopia_Standard-DHS_2011.cfm, Ethiopia_Standard-DHS_2011.cfm, Not Applicable
Ethiopia,  2005, Standard DHS, DHS-V, DHS-IV, Ethiopia_Standard-DHS_2005.cfm, Ethiopia_Standard-DHS_2005.cfm, Ethiopia_Standard-DHS_2005.cfm, Not Applicable
Ethiopia,  2000, Standard DHS, DHS-IV, DHS-IV, Ethiopia_Standard-DHS_2000.cfm, Ethiopia_Standard-DHS_2000.cfm, Not Collected, Not Applicable
Gabon,  2012, Standard DHS, DHS-VI, DHS-VI, Gabon_Standard-DHS_2012.cfm, Gabon_Standard-DHS_2012.cfm, Gabon_Standard-DHS_2012.cfm, Not Applicable
Gabon,  2000, Standard DHS, DHS-IV, DHS-III, Gabon_Standard-DHS_2000.cfm, Not Collected, Not Collected, Not Applicable
Gambia,  2013, Standard DHS, DHS-VI, DHS-VI, Gambia_Standard-DHS_2013.cfm, Not Collected, Gambia_Standard-DHS_2013.cfm, Not Applicable
Ghana,  2014, Standard DHS, DHS-VII, DHS-VI, Ghana_Standard-DHS_2014.cfm, Ghana_Standard-DHS_2014.cfm, Ghana_Standard-DHS_2014.cfm, Not Applicable
Ghana,  2011, MICS, DHS-VI, --, Not In Public Domain, Not In Public Domain, Not Collected, Not Applicable
Ghana,  2008, Standard DHS, DHS-V, DHS-V, Ghana_Standard-DHS_2008.cfm, Ghana_Standard-DHS_2008.cfm, Not Collected, Not Applicable
Ghana,  2007, Special, DHS-V, --, Ghana_Special_2007.cfm, Not Collected, Not Collected, Not Applicable
Ghana,  2006, MICS, DHS-V, --, Not Applicable, Not Collected, Not Collected, Not Applicable
